filename,true_label,reconstruction_error,is_anomaly,supervised_prediction
no_tumor\image(1).jpg,no_tumor,0.009367837,False,no_tumor
no_tumor\image(10).jpg,no_tumor,0.0064296327,False,no_tumor
no_tumor\image(100).jpg,no_tumor,0.0074910177,False,no_tumor
no_tumor\image(101).jpg,no_tumor,0.014271212,False,no_tumor
no_tumor\image(102).jpg,no_tumor,0.0154752135,False,no_tumor
no_tumor\image(103).jpg,no_tumor,0.009834607,False,no_tumor
no_tumor\image(104).jpg,no_tumor,0.007584306,False,no_tumor
no_tumor\image(11).jpg,no_tumor,0.0015875353,False,no_tumor
no_tumor\image(12).jpg,no_tumor,0.016221976,False,no_tumor
no_tumor\image(13).jpg,no_tumor,0.013246583,False,no_tumor
no_tumor\image(14).jpg,no_tumor,0.009638703,False,no_tumor
no_tumor\image(15).jpg,no_tumor,0.008857427,False,no_tumor
no_tumor\image(16).jpg,no_tumor,0.01083469,False,no_tumor
no_tumor\image(17).jpg,no_tumor,0.0099272365,False,no_tumor
no_tumor\image(18).jpg,no_tumor,0.009594829,False,no_tumor
no_tumor\image(19).jpg,no_tumor,0.006873626,False,no_tumor
no_tumor\image(2).jpg,no_tumor,0.010163621,False,no_tumor
no_tumor\image(20).jpg,no_tumor,0.004785143,False,no_tumor
no_tumor\image(21).jpg,no_tumor,0.008991945,False,no_tumor
no_tumor\image(22).jpg,no_tumor,0.01650488,False,no_tumor
no_tumor\image(23).jpg,no_tumor,0.006145663,False,no_tumor
no_tumor\image(24).jpg,no_tumor,0.009262093,False,no_tumor
no_tumor\image(25).jpg,no_tumor,0.0070531922,False,no_tumor
no_tumor\image(26).jpg,no_tumor,0.011098528,False,no_tumor
no_tumor\image(27).jpg,no_tumor,0.0046677333,False,no_tumor
no_tumor\image(28).jpg,no_tumor,0.017959014,False,no_tumor
no_tumor\image(29).jpg,no_tumor,0.019233242,True,no_tumor
no_tumor\image(3).jpg,no_tumor,0.027301176,True,no_tumor
